date,fear_greed_index
2018-11-10,52
2018-11-11,54
2018-11-12,52
2018-11-13,56
2018-11-14,49
2018-11-15,28
2018-11-16,23
2018-11-17,24
2018-11-18,26
2018-11-19,28
2018-11-20,21
2018-11-21,15
2018-11-22,14
2018-11-23,12
2018-11-24,15
2018-11-25,9
2018-11-26,17
2018-11-27,11
2018-11-28,14
2018-11-29,18
2018-11-30,19
2018-12-01,13
2018-12-02,15
2018-12-03,17
2018-12-04,12
2018-12-05,19
2018-12-06,13
2018-12-07,11
2018-12-08,11
2018-12-09,14
2018-12-10,19
2018-12-11,15
2018-12-12,14
2018-12-13,14
2018-12-14,10
2018-12-15,11
2018-12-16,13
2018-12-17,17
2018-12-18,23
2018-12-19,21
2018-12-20,27
2018-12-21,35
2018-12-22,28
2018-12-23,31
2018-12-24,25
2018-12-25,33
2018-12-26,26
2018-12-27,29
2018-12-28,21
2018-12-29,24
2018-12-30,23
2018-12-31,26
2019-01-01,24
2019-01-02,30
2019-01-03,33
2019-01-04,48
2019-01-05,36
2019-01-06,31
2019-01-07,39
2019-01-08,39
2019-01-09,42
2019-01-10,37
2019-01-11,19
2019-01-12,22
2019-01-13,21
2019-01-14,16
2019-01-15,27
2019-01-16,24
2019-01-17,28
2019-01-18,29
2019-01-19,31
2019-01-20,35
2019-01-21,30
2019-01-22,27
2019-01-23,33
2019-01-24,37
2019-01-25,35
2019-01-26,41
2019-01-27,39
2019-01-28,35
2019-01-29,21
2019-01-30,22
2019-01-31,17
2019-02-01,23
2019-02-02,22
2019-02-03,19
2019-02-04,27
2019-02-05,21
2019-02-06,14
2019-02-07,18
2019-02-08,37
2019-02-09,42
2019-02-10,40
2019-02-11,46
2019-02-12,38
2019-02-13,48
2019-02-14,48
2019-02-15,43
2019-02-16,43
2019-02-17,38
2019-02-18,63
2019-02-19,65
2019-02-20,59
2019-02-21,59
2019-02-22,61
2019-02-23,63
2019-02-24,69
2019-02-25,47
